merchant_name,mcc_code,category
QuikTrip,5541,Transportation
RaceTrac,5541,Transportation
Uber,4121,Transportation
Lyft,4121,Transportation
Yellow Cab,4121,Transportation
Enterprise,7512,Transportation
Hertz,7512,Transportation
Shell Gas Station,5541,Transportation
BP Gas,5541,Transportation
ExxonMobil,5541,Transportation
Uber Trip,4121,Transportation
AMC Theatres,7832,Entertainment
Regal Cinemas,7832,Entertainment
Cinemark,7832,Entertainment
Netflix,5735,Entertainment
Spotify,5735,Entertainment
Apple Music,5735,Entertainment
Hulu,5735,Entertainment
Disney+,5735,Entertainment
HBO Max,5735,Entertainment
Amazon Prime Video,5735,Entertainment
YouTube Premium,5735,Entertainment
Steam,5735,Entertainment
PlayStation,5735,Entertainment
Xbox,5735,Entertainment
Nintendo,5735,Entertainment
GameStop,5735,Entertainment
Dave & Busters,5735,Entertainment
Top Golf,5735,Entertainment
AMF Bowling,5735,Entertainment
Six Flags,5735,Entertainment
AMC Theater,7832,Entertainment
NETFLIX.COM,5735,Entertainment
SPOTIFY USA,5735,Entertainment
Amazon,5942,Shopping
eBay,5942,Shopping
Best Buy,5732,Shopping
Home Depot,5211,Shopping
Lowes,5211,Shopping
Macys,5651,Shopping
Nordstrom,5651,Shopping
Kohls,5651,Shopping
JCPenney,5651,Shopping
Gap,5651,Shopping
Old Navy,5651,Shopping
Banana Republic,5651,Shopping
H&M,5651,Shopping
Zara,5651,Shopping
Forever 21,5651,Shopping
TJ Maxx,5651,Shopping
Ross,5651,Shopping
Nike,5651,Shopping
Adidas,5651,Shopping
Foot Locker,5651,Shopping
Dicks Sporting Goods,5651,Shopping
REI,5651,Shopping
Bed Bath & Beyond,5651,Shopping
Bath & Body Works,5651,Shopping
Sephora,5651,Shopping
Ulta,5651,Shopping
PetSmart,5651,Shopping
Petco,5651,Shopping
Barnes & Noble,5651,Shopping
Books-A-Million,5651,Shopping
Amazon.com,5942,Shopping
BESTBUY,5651,Shopping
AT&T,4814,Utilities
Verizon,4814,Utilities
T-Mobile,4814,Utilities
Sprint,4814,Utilities
Comcast,4899,Utilities
Xfinity,4899,Utilities
Spectrum,4899,Utilities
Cox,4899,Utilities
CenturyLink,4899,Utilities
Frontier,4899,Utilities
PG&E,4899,Utilities
SCE,4899,Utilities
Con Edison,4899,Utilities
Duke Energy,4899,Utilities
American Water,4899,Utilities
Verizon Wireless,4814,Utilities
ATT Payment,4899,Utilities
Comcast Cable,4899,Utilities
CVS Pharmacy,5912,Healthcare
Walgreens,5912,Healthcare
Rite Aid,5912,Healthcare
Walmart Pharmacy,5912,Healthcare
Target Pharmacy,5912,Healthcare
Kaiser,8011,Healthcare
LabCorp,8011,Healthcare
Quest Diagnostics,8011,Healthcare
Minute Clinic,8011,Healthcare
Urgent Care,8011,Healthcare
CVS,5912,Healthcare
WALGREENS,8011,Healthcare
Uber Eats,5812,Food & Dining
DoorDash,5812,Food & Dining
Grubhub,5812,Food & Dining
Postmates,5812,Food & Dining
Instacart,7299,Other
Dry Cleaner,7299,Other
Laundromat,7299,Other
Car Wash,7299,Other
Great Clips,7299,Other
24 Hour Fitness,7997,Entertainment
Planet Fitness,7997,Entertainment
LA Fitness,7997,Entertainment
Anytime Fitness,7997,Entertainment
