merchant_name,category
Kihn-Fritsch,Food & Dining
Eichmann-Russel,Other
Miller-Harris,Other
Schumm PLC,Shopping
"Greenfelder, Bartoletti and Davis",Other
"Kovacek, Dibbert and Ondricka",Groceries
Hermann-Gaylord,Other
Bailey-Morar,Groceries
McDermott-Weimann,Groceries
Welch Inc,Other
Auer-West,Shopping
"Boehm, Predovic and Reinger",Other
Dibbert and Sons,Entertainment
"Lind, Huel and McClure",Transportation
"Casper, Hand and Zulauf",Groceries
McCullough Group,Groceries
"Streich, Dietrich and Barton",Shopping
O'Keefe-Hudson,Groceries
Pagac LLC,Shopping
"Bernier, Streich and Jewess",Groceries
"Greenholt, O'Hara and Balistreri",Shopping
Dickinson-Rempel,Other
Dare-Marvin,Entertainment
Spencer PLC,Entertainment
Stamm-Rodriguez,Other
"Langworth, Boehm and Gulgowski",Shopping
"Larkin, Stracke and Greenfelder",Entertainment
"Yost, Block and Koepp",Other
"Douglas, Schneider and Turner",Shopping
Kuphal-Predovic,Other
Parisian and Sons,Transportation
Flatley-Durgan,Other
Gislason Group,Other
Bednar Group,Other
Heller-Langosh,Transportation
Zboncak Ltd,Food & Dining
Gerlach Inc,Shopping
Wilkinson Ltd,Entertainment
"Moen, Reinger and Murphy",Groceries
"Kerluke, Considine and Macejkovic",Other
Upton PLC,Entertainment
Bogisich Inc,Groceries
Marks Inc,Transportation
Murray-Smitham,Groceries
Frami Group,Entertainment
Ortiz Group,Groceries
Goldner-Lemke,Entertainment
Hickle Group,Shopping
Conroy Ltd,Shopping
"Schumm, Bauch and Ondricka",Groceries
McGlynn-Heathcote,Other
Herman Inc,Other
Gutmann-Upton,Other
Volkman-Predovic,Shopping
"Wintheiser, Dietrich and Schimmel",Other
"Raynor, Feest and Miller",Transportation
Bogisich-Homenick,Other
Jast and Sons,Food & Dining
"Baumbach, Strosin and Nicolas",Shopping
"Towne, Greenholt and Koepp",Shopping
Schamberger-O'Keefe,Groceries
Nienow PLC,Entertainment
Emmerich-Luettgen,Groceries
Mante Group,Other
"Baumbach, Feeney and Morar",Shopping
Thiel PLC,Other
Mohr Inc,Shopping
"Hagenes, Kohler and Hoppe",Food & Dining
Block-Parisian,Other
Dooley Inc,Shopping
Bashirian Group,Shopping
"Cremin, Hamill and Reichel",Other
Sawayn PLC,Shopping
Jewess LLC,Shopping
Roberts-Beahan,Other
Brown PLC,Other
"Tillman, Dickinson and Labadie",Transportation
"Reichert, Rowe and Mraz",Shopping
Kilback Group,Food & Dining
Spencer-Runolfsson,Other
"Labadie, Treutel and Bode",Shopping
Dach-Borer,Groceries
"Johnson, Runolfsdottir and Mayer",Other
Smitham-Boehm,Groceries
"Moore, Dibbert and Koepp",Other
Hamill-Daugherty,Other
"Watsica, Haag and Considine",Shopping
Smith-Stokes,Other
"Kuhic, Bins and Pfeffer",Shopping
Nader-Heller,Other
Kozey-Boehm,Shopping
Stiedemann Inc,Other
"Lehner, Mosciski and King",Other
Reynolds-Schinner,Other
"Koss, McLaughlin and Mayer",Food & Dining
"Terry, Johns and Bins",Other
Kemmer-Reinger,Groceries
Larson-Moen,Entertainment
Kuhic Inc,Groceries
Kris-Padberg,Shopping
"Schmeler, Bashirian and Price",Shopping
Klocko LLC,Other
"Schaefer, Fay and Hilll",Entertainment
Kling Inc,Transportation
Turner and Sons,Shopping
Mohr-Bayer,Shopping
Wiza LLC,Other
Skiles-Ankunding,Groceries
Jaskolski-Vandervort,Other
Kerluke PLC,Other
Ernser-Lynch,Food & Dining
"Zboncak, Rowe and Murazik",Shopping
Stoltenberg-Beatty,Shopping
Kuphal-Bartoletti,Other
Rempel PLC,Groceries
Denesik and Sons,Shopping
Goyette Inc,Shopping
Dicki Ltd,Groceries
"Stokes, Christiansen and Sipes",Groceries
Hermann and Sons,Shopping
Gibson-Deckow,Entertainment
Douglas-White,Entertainment
Murray Ltd,Groceries
McKenzie-Huels,Food & Dining
Runte-Mohr,Food & Dining
"Roob, Conn and Tremblay",Shopping
Boyer-Reichert,Shopping
Shanahan-Lehner,Healthcare
Greenholt Ltd,Healthcare
Kulas Group,Healthcare
"Dare, Fritsch and Zboncak",Healthcare
Waters-Cruickshank,Healthcare
"Kunze, Larkin and Mayert",Transportation
Bednar Inc,Transportation
Schimmel-Olson,Shopping
"Lubowitz, Terry and Stracke",Healthcare
Schoen-Quigley,Shopping
Kihn-Schuster,Food & Dining
Padberg-Rogahn,Entertainment
Lynch-Mohr,Transportation
Hilpert-Conroy,Shopping
Jacobi Inc,Healthcare
"Berge, Kautzer and Harris",Healthcare
Hammes-Beatty,Shopping
Gulgowski LLC,Shopping
"Schuppe, Nolan and Hoeger",Shopping
Pollich LLC,Shopping
Bernier and Sons,Shopping
Wilkinson PLC,Shopping
Kling-Ernser,Entertainment
"O'Connell, Botsford and Hand",Shopping
Little-Gleichner,Transportation
Champlin and Sons,Shopping
Hoppe-Parisian,Shopping
Schuppe LLC,Entertainment
Emmerich-Rau,Healthcare
Beier LLC,Entertainment
Champlin-Casper,Shopping
Gerhold LLC,Shopping
Renner Ltd,Shopping
Gaylord-Powlowski,Shopping
"Prosacco, Kreiger and Kovacek",Shopping
Eichmann-Kilback,Shopping
O'Hara-Wilderman,Food & Dining
Terry Ltd,Shopping
Beier and Sons,Shopping
O'Keefe-Wisoky,Food & Dining
Simonis-Prohaska,Other
Breitenberg-Hermiston,Shopping
Brown Inc,Shopping
Fahey Inc,Shopping
"Boehm, Block and Jakubowski",Other
"Mante, Luettgen and Hackett",Healthcare
Thompson-Gleason,Healthcare
"Turcotte, Batz and Buckridge",Healthcare
"Goyette, Howell and Collier",Shopping
"Jones, Sawayn and Romaguera",Other
Medhurst Inc,Shopping
Bode-Schuster,Shopping
Connelly-Carter,Shopping
Gottlieb-Hansen,Healthcare
"Schroeder, Wolff and Hermiston",Transportation
"Hettinger, McCullough and Fay",Shopping
"Pouros, Walker and Spencer",Shopping
Kub PLC,Healthcare
Watsica LLC,Healthcare
Stiedemann Ltd,Food & Dining
"Hauck, Dietrich and Funk",Shopping
Labadie LLC,Healthcare
Friesen Inc,Shopping
"Crist, Jakubowski and Littel",Shopping
"Hodkiewicz, Prohaska and Paucek",Transportation
"McDermott, Osinski and Morar",Shopping
Fritsch and Sons,Healthcare
"Swaniawski, Nitzsche and Welch",Healthcare
"Windler, Goodwin and Kovacek",Shopping
"Yost, Schamberger and Windler",Shopping
"Metz, Russel and Metz",Shopping
Erdman-Durgan,Healthcare
"Bahringer, Bergnaum and Quitzon",Shopping
Veum-Koelpin,Transportation
"Becker, Harris and Harvey",Healthcare
Monahan-Morar,Healthcare
Johns Inc,Entertainment
Mosciski Group,Transportation
Abbott-Steuber,Healthcare
Schaefer Ltd,Shopping
Dibbert-Green,Entertainment
Weimann-Lockman,Shopping
Kub-Heaney,Healthcare
Zulauf LLC,Healthcare
Ratke and Sons,Healthcare
Jakubowski Inc,Shopping
Beer-Jast,Shopping
Kautzer and Sons,Healthcare
Feil-Morar,Healthcare
Johnston-Casper,Transportation
"Medhurst, Labadie and Gottlieb",Transportation
"Lesch, D'Amore and Brown",Food & Dining
Botsford PLC,Shopping
Bins-Howell,Healthcare
Kihn Inc,Shopping
"Hartmann, Rowe and Hermann",Transportation
Towne LLC,Other
Lynch-Wisozk,Shopping
Kutch-Ferry,Shopping
Goyette-Gerhold,Shopping
"Bradtke, Torp and Bahringer",Healthcare
Homenick LLC,Healthcare
"Zemlak, Tillman and Cremin",Healthcare
"Schneider, Hayes and Nikolaus",Food & Dining
"Schumm, McLaughlin and Carter",Food & Dining
Nader-Maggio,Healthcare
"Haley, Batz and Auer",Healthcare
Yost-Rogahn,Healthcare
"Schoen, Nienow and Bauch",Healthcare
"Ledner, Hartmann and Feest",Healthcare
Collier LLC,Shopping
Schuppe-Schuppe,Food & Dining
"Walter, Hettinger and Kessler",Healthcare
Bechtelar-Rippin,Food & Dining
Hamill-D'Amore,Healthcare
Swift PLC,Shopping
"Cronin, Kshlerin and Weber",Healthcare
"Romaguera, Wehner and Tromp",Shopping
"Feil, Hilpert and Koss",Food & Dining
White and Sons,Shopping
"Mueller, Gerhold and Mueller",Healthcare
Botsford and Sons,Shopping
Kirlin and Sons,Healthcare
Bednar PLC,Shopping
"Runolfsdottir, Mueller and Hand",Entertainment
Kuphal-Toy,Food & Dining
Bahringer-Streich,Food & Dining
"Wuckert, Wintheiser and Friesen",Shopping
Crona and Sons,Shopping
Prosacco LLC,Healthcare
Schiller Ltd,Healthcare
Waelchi-Wolf,Shopping
Torphy-Kertzmann,Healthcare
"McCullough, Hudson and Schuster",Food & Dining
Baumbach Ltd,Healthcare
"Schiller, Blanda and Johnson",Shopping
Cartwright PLC,Shopping
Reilly LLC,Shopping
Cruickshank-Mills,Entertainment
"Altenwerth, Cartwright and Koss",Shopping
"Effertz, Welch and Schowalter",Entertainment
"Klocko, Runolfsdottir and Breitenberg",Healthcare
Ruecker-Mayert,Shopping
"Schroeder, Hauck and Treutel",Entertainment
Lemke-Gutmann,Shopping
"Graham, Hegmann and Hammes",Food & Dining
Reilly and Sons,Healthcare
Stark-Koss,Shopping
Daugherty LLC,Shopping
"Denesik, Powlowski and Pouros",Shopping
Rippin-VonRueden,Healthcare
Heller PLC,Healthcare
Hills-Boyer,Healthcare
Cormier LLC,Shopping
Erdman-Ebert,Healthcare
Bogisich-Weimann,Shopping
"Gutmann, McLaughlin and Wiza",Shopping
Little Ltd,Shopping
Bode-Rempel,Shopping
"Kutch, Steuber and Gerhold",Food & Dining
Kessler Inc,Transportation
Deckow-Dare,Food & Dining
Rolfson-Kunde,Healthcare
Marvin-Lind,Healthcare
Barrows PLC,Shopping
Abbott-Rogahn,Entertainment
Ziemann-Waters,Healthcare
"Reinger, Weissnat and Strosin",Food & Dining
"Heathcote, Yost and Kertzmann",Shopping
Will Ltd,Food & Dining
Kutch-Wilderman,Shopping
"Hermiston, Russel and Price",Food & Dining
Schmidt-Larkin,Shopping
"Lang, Towne and Schuppe",Shopping
"Weber, Thiel and Hammes",Shopping
"Hahn, Bahringer and McLaughlin",Healthcare
"Koss, Hansen and Lueilwitz",Shopping
"Roberts, Ryan and Smith",Healthcare
"Hintz, Bauch and Smith",Healthcare
"Monahan, Hermann and Johns",Transportation
"Bahringer, Osinski and Block",Food & Dining
"Douglas, DuBuque and McKenzie",Transportation
Hackett Group,Transportation
Schmeler-Howe,Healthcare
Predovic Inc,Shopping
Langworth LLC,Healthcare
Bartoletti and Sons,Healthcare
Bernhard-Lesch,Food & Dining
Satterfield-Lowe,Transportation
"Runte, Green and Emard",Healthcare
"Lowe, Dietrich and Erdman",Shopping
Jast Ltd,Shopping
"Welch, Rath and Koepp",Entertainment
Skiles LLC,Shopping
Ernser-Feest,Shopping
Klein Group,Entertainment
"Torp, Muller and Borer",Healthcare
Kuhn Group,Food & Dining
"Streich, Rolfson and Wilderman",Shopping
Bins-Tillman,Entertainment
Ankunding-Carroll,Transportation
"Hahn, Douglas and Schowalter",Transportation
"Witting, Beer and Ernser",Shopping
Morissette LLC,Entertainment
Berge-Hills,Shopping
Donnelly LLC,Entertainment
Zboncak LLC,Food & Dining
"Turner, Ziemann and Lehner",Food & Dining
Padberg-Sauer,Shopping
Schulist Ltd,Food & Dining
Rau-Grant,Shopping
Osinski Inc,Healthcare
Berge-Ullrich,Shopping
Wuckert-Goldner,Shopping
Kertzmann LLC,Healthcare
"Daugherty, Pouros and Beahan",Shopping
"Armstrong, Walter and Gottlieb",Food & Dining
Conroy-Emard,Food & Dining
"Moore, Williamson and Emmerich",Shopping
Gleason and Sons,Shopping
"Roberts, Daniel and Macejkovic",Shopping
Turner LLC,Transportation
Crooks and Sons,Healthcare
Waelchi Inc,Shopping
"Hoppe, Harris and Bednar",Entertainment
Effertz LLC,Entertainment
Lubowitz-Walter,Shopping
Hyatt-Blick,Transportation
Carroll PLC,Healthcare
Lemke and Sons,Transportation
Treutel-King,Transportation
Fadel-Hilpert,Healthcare
Altenwerth-Kilback,Shopping
Bauch-Blanda,Entertainment
Sporer-Keebler,Healthcare
Hirthe-Beier,Healthcare
Wisozk and Sons,Other
Streich Ltd,Shopping
Schoen Ltd,Shopping
Windler LLC,Shopping
Nolan-Williamson,Shopping
Roob-Okuneva,Healthcare
"Lakin, Ferry and Beatty",Food & Dining
Gottlieb Group,Shopping
Harris Group,Food & Dining
Fritsch LLC,Transportation
Corwin-Romaguera,Transportation
Dietrich-Fadel,Healthcare
"Kling, Howe and Schneider",Shopping
Kozey-Kuhlman,Healthcare
Graham and Sons,Healthcare
Jacobi and Sons,Shopping
"Eichmann, Hayes and Treutel",Transportation
"Brown, Homenick and Lesch",Healthcare
Erdman-Schaden,Healthcare
"Durgan, Gislason and Spencer",Shopping
Friesen-Ortiz,Healthcare
Morissette-Schaefer,Healthcare
"Nienow, Ankunding and Collier",Other
"Cole, Hills and Jewess",Shopping
"Conroy, Balistreri and Gorczany",Healthcare
"Reichel, Bradtke and Blanda",Transportation
"O'Reilly, Mohr and Purdy",Shopping
Ullrich Ltd,Shopping
Schroeder Group,Healthcare
Boyer-Haley,Transportation
"Dare, Casper and Bartoletti",Shopping
"Medhurst, Cartwright and Ebert",Healthcare
Quitzon-Goyette,Shopping
Wilkinson LLC,Healthcare
Romaguera and Sons,Transportation
Larkin Ltd,Shopping
"Fadel, Mertz and Rippin",Entertainment
Huel Ltd,Other
Cummerata-Hilpert,Entertainment
Zemlak Group,Other
Dare-Gibson,Healthcare
Adams-Barrows,Healthcare
Block-Hauck,Transportation
Howe PLC,Entertainment
Leffler-Goldner,Healthcare
Tillman LLC,Transportation
Pacocha-Weissnat,Shopping
Morissette PLC,Shopping
Jerde-Hermann,Transportation
"Kihn, Brakus and Goyette",Healthcare
"Hills, Hegmann and Schaefer",Healthcare
Friesen Ltd,Healthcare
Kilback and Sons,Entertainment
Ebert-Daugherty,Transportation
"Hermiston, Pacocha and Smith",Healthcare
Auer LLC,Healthcare
Fadel Inc,Healthcare
Daugherty-Thompson,Food & Dining
Romaguera Ltd,Healthcare
Parker-Kunde,Healthcare
Barton LLC,Shopping
Kassulke Inc,Entertainment
"McLaughlin, Armstrong and Koepp",Transportation
Abernathy and Sons,Food & Dining
Bahringer Group,Healthcare
Connelly PLC,Food & Dining
"Willms, Kris and Bergnaum",Shopping
Thiel Ltd,Transportation
Kris-Kertzmann,Transportation
O'Connell-Ullrich,Shopping
Kozey-McDermott,Transportation
Reichel LLC,Healthcare
Thiel-Thiel,Entertainment
Rau-Robel,Shopping
Haley Group,Other
"Turcotte, McKenzie and Koss",Entertainment
Stamm-Witting,Shopping
"Ritchie, Bradtke and Stiedemann",Transportation
"Nienow, Barrows and Romaguera",Healthcare
Shields-Wunsch,Healthcare
Goyette-Herzog,Transportation
Shields Inc,Groceries
"Hayes, Marquardt and Dibbert",Other
"Swaniawski, Bahringer and Ledner",Groceries
Roob LLC,Groceries
"Rutherford, Homenick and Bergstrom",Groceries
"Harris, Gusikowski and Heaney",Groceries
Hintz-Bruen,Groceries
"Turner, Ruecker and Parisian",Other
Ruecker Group,Other
Johns-Hoeger,Entertainment
"Ritchie, Oberbrunner and Cremin",Transportation
Haag-Blanda,Food & Dining
"Hagenes, Hermann and Stroman",Transportation
Reichert-Weissnat,Transportation
"Hyatt, Russel and Gleichner",Healthcare
"Champlin, Rolfson and Connelly",Transportation
Leannon-Nikolaus,Transportation
Tromp Group,Transportation
Kovacek Ltd,Transportation
Kutch Group,Groceries
"Kohler, Lindgren and Koelpin",Groceries
Heller-Abshire,Groceries
"Swift, Bradtke and Marquardt",Groceries
"Larson, Quitzon and Spencer",Transportation
"Kilback, Nitzsche and Leffler",Transportation
Jakubowski Group,Food & Dining
Breitenberg LLC,Transportation
Collier Inc,Groceries
Paucek-Wiza,Groceries
Kessler Group,Transportation
